이름,ticker,비율,타율,방치
삼성전자 KOSPI,a005930,0.19,0.52,5.36
에코프로 KOSDAQ,a086520,0.21,0.33,5.06
알테오젠 KOSDAQ,a196170,0.12,0.46,10.56
에코프로비엠 KOSDAQ,a247540,0.55,0.36,2.10
SK하이닉스 KOSPI,a000660,0.04,0.54,25.03
HLB KOSDAQ,a028300,0.68,0.38,1.49
LG에너지솔루션 KOSPI,a373220,1.15,0.49,0.87
현대차 KOSPI,a005380,0.24,0.53,4.57
엘앤에프 KOSPI,a066970,1.27,0.34,0.81
펩트론 KOSDAQ,a087010,0.03,0.29,38.64
삼성바이오로직스 KOSPI,a207940,0.65,0.29,1.53
SK스퀘어 KOSPI,a402340,0.04,0.54,32.00
삼천당제약 KOSDAQ,a000250,0.09,0.33,11.34
포스코DX KOSPI,a022100,0.19,0.43,5.86
파마리서치 KOSDAQ,a214450,0.19,0.23,4.90
레인보우로보틱스 KOSDAQ,a277810,0.05,0.32,23.66
카카오게임즈 KOSDAQ,a293490,3.84,0.23,0.25
에이비엘바이오 KOSDAQ,a298380,0.17,0.45,5.83
POSCO홀딩스 KOSPI,a005490,0.56,0.32,1.80
삼성SDI KOSPI,a006400,0.99,0.41,1.02
한화에어로스페이스 KOSPI,a012450,0.07,0.53,19.06
JYP Ent. KOSDAQ,a035900,0.95,0.24,1.06
LG화학 KOSPI,a051910,1.55,0.44,0.66
KB금융 KOSPI,a105560,0.31,0.31,3.33
리가켐바이오 KOSDAQ,a141080,0.24,0.48,4.50
클래시스 KOSDAQ,a214150,0.34,0.44,3.07
엔켐 KOSDAQ,a348370,1.82,0.33,0.51
HPSP KOSDAQ,a403870,0.31,0.41,3.36
undefined,a950160,1.00,NaN,1.00
기아 KOSPI,a000270,0.40,0.37,2.60
리노공업 KOSDAQ,a058470,1.46,0.42,0.70
셀트리온 KOSPI,a068270,0.98,0.49,1.08
셀트리온제약 KOSDAQ,a068760,1.42,0.49,0.81
휴젤 KOSDAQ,a145020,0.45,0.37,2.24
두산에너빌리티 KOSPI,a034020,0.13,0.50,8.25
에스엠 KOSDAQ,a041510,0.89,0.28,1.14
펄어비스 KOSDAQ,a263750,0.93,0.29,1.08
HD현대중공업 KOSPI,a329180,0.17,0.47,6.69
삼성물산 KOSPI,a028260,0.26,0.50,3.91
NAVER KOSPI,a035420,0.71,0.35,1.50
주성엔지니어링 KOSDAQ,a036930,0.07,0.40,16.39
스튜디오드래곤 KOSDAQ,a253450,2.50,0.24,0.38
신성델타테크 KOSDAQ,a065350,0.22,0.43,4.71
케어젠 KOSDAQ,a214370,0.25,0.40,4.73
천보 KOSDAQ,a278280,4.30,0.32,0.23
카카오 KOSPI,a035720,1.07,0.24,0.88
이오테크닉스 KOSDAQ,a039030,0.16,0.46,6.96
신한지주 KOSPI,a055550,0.38,0.39,2.65
루닛 KOSDAQ,a328130,0.57,0.23,1.67
포스코퓨처엠 KOSPI,a003670,0.93,0.39,1.26
고려아연 KOSPI,a010130,0.51,0.51,2.27
원익IPS KOSDAQ,a240810,0.27,0.40,3.95
로보티즈 KOSDAQ,a108490,0.08,0.34,13.42
실리콘투 KOSDAQ,a257720,0.07,0.29,14.73
undefined,a417200,1.00,NaN,1.00
삼성전기 KOSPI,a009150,0.06,0.39,17.49
현대모비스 KOSPI,a012330,0.26,0.38,3.92
CJ ENM KOSDAQ,a035760,1.85,0.30,0.54
위메이드 KOSDAQ,a112040,2.68,0.40,0.37
보로노이 KOSDAQ,a310210,0.07,0.52,17.57
undefined,a347850,1.00,NaN,1.00
undefined,a0009k0,1.00,NaN,1.00
삼성생명 KOSPI,a032830,0.18,0.50,5.93
한화오션 KOSPI,a042660,0.14,0.47,7.89
ISC KOSDAQ,a095340,0.17,0.44,6.62
솔브레인 KOSDAQ,a357780,0.58,0.29,1.84
더블유씨피 KOSDAQ,a393890,2.69,0.38,0.36
메리츠금융지주 KOSPI,a138040,0.20,0.41,5.02
메지온 KOSDAQ,a140410,0.20,0.37,5.08
동진쎄미켐 KOSDAQ,a005290,0.58,0.33,1.80
LG전자 KOSPI,a066570,0.27,0.31,3.77
테크윙 KOSDAQ,a089030,0.12,0.29,8.48
에스티팜 KOSDAQ,a237690,0.61,0.30,1.63
네이처셀 KOSDAQ,a007390,0.66,0.39,1.86
씨젠 KOSDAQ,a096530,0.98,0.39,1.02
SK이노베이션 KOSPI,a096770,1.25,0.46,0.79
성일하이텍 KOSDAQ,a365340,2.04,0.37,0.49
HD한국조선해양 KOSPI,a009540,0.17,0.50,6.14
다우데이타 KOSDAQ,a032190,0.70,0.23,1.36
대주전자재료 KOSDAQ,a078600,0.59,0.31,1.77
하나금융지주 KOSPI,a086790,0.35,0.29,2.93
넥슨게임즈 KOSDAQ,a225570,1.34,0.31,0.76
HD현대일렉트릭 KOSPI,a267260,0.03,0.36,32.08
undefined,a440110,1.00,NaN,1.00
미래에셋증권 KOSPI,a006800,0.11,0.59,10.15
한국전력 KOSPI,a015760,0.43,0.25,2.37
우리기술 KOSDAQ,a032820,0.10,0.42,11.75
SK KOSPI,a034730,0.31,0.38,3.31
메디톡스 KOSDAQ,a086900,1.02,0.44,0.95
나노신소재 KOSDAQ,a121600,1.28,0.40,0.79
크래프톤 KOSPI,a259960,0.67,0.33,1.48
레이크머티리얼즈 KOSDAQ,a281740,0.32,0.31,3.31
undefined,a450080,1.00,NaN,1.00
삼성화재 KOSPI,a000810,0.38,0.53,2.88
LS ELECTRIC KOSPI,a010120,0.23,0.27,4.74
HMM KOSPI,a011200,0.93,0.36,1.06
파라다이스 KOSPI,a034230,1.01,0.31,1.01
젬백스 KOSDAQ,a082270,0.81,0.27,1.23
LG KOSPI,a003550,0.53,0.30,1.87
대한광통신 KOSDAQ,a010170,0.12,0.30,8.71
삼성에스디에스 KOSPI,a018260,0.41,0.61,2.53
포스코인터내셔널 KOSPI,a047050,0.32,0.45,3.24
올릭스 KOSDAQ,a226950,0.16,0.37,9.09
하림지주 KOSDAQ,a003380,0.58,0.41,1.70
원익홀딩스 KOSDAQ,a030530,0.12,0.36,8.44
현대로템 KOSPI,a064350,0.13,0.48,8.71
HLB생명과학 KOSDAQ,a067630,3.23,0.26,0.30
현대무벡스 KOSDAQ,a319400,0.08,0.51,14.39
KT&G KOSPI,a033780,0.51,0.52,1.98
한미반도체 KOSPI,a042700,0.05,0.39,23.94
파크시스템스 KOSDAQ,a140860,0.41,0.42,2.54
서진시스템 KOSDAQ,a178320,0.20,0.59,5.23
심텍 KOSDAQ,a222800,0.33,0.34,3.30
카카오뱅크 KOSPI,a323410,0.72,0.29,1.40
undefined,a475830,1.00,NaN,1.00
하나마이크론 KOSDAQ,a067310,0.30,0.37,3.71
와이지엔터테인먼트 KOSDAQ,a122870,0.95,0.23,1.05
효성중공업 KOSPI,a298040,0.02,0.58,74.83
에코프로에이치엔 KOSDAQ,a383310,1.81,0.34,0.62
삼성중공업 KOSPI,a010140,0.20,0.44,5.62
브이티 KOSDAQ,a018290,0.39,0.21,2.54
솔브레인홀딩스 KOSDAQ,a036830,0.47,0.36,2.19
성호전자 KOSDAQ,a043260,0.04,0.36,23.94
에스에프에이 KOSDAQ,a056190,1.38,0.40,0.71
오스코텍 KOSDAQ,a039200,0.46,0.52,2.39
피엔티 KOSDAQ,a137400,0.90,0.41,1.19
현대사료 KOSDAQ,a016790,0.71,0.25,1.35
SK텔레콤 KOSPI,a017670,0.48,0.27,2.07
LG생활건강 KOSPI,a051900,2.04,0.39,0.48
티씨케이 KOSDAQ,a064760,0.43,0.49,2.50
한화시스템 KOSPI,a272210,0.12,0.46,9.55
우리금융지주 KOSPI,a316140,0.39,0.48,2.63
하이브 KOSPI,a352820,0.51,0.23,1.93
동화기업 KOSDAQ,a025900,3.03,0.80,0.35
undefined,a051980,0.31,NaN,3.24
유진테크 KOSDAQ,a084370,0.21,0.56,5.29
제이앤티씨 KOSDAQ,a204270,0.25,0.30,4.50
에스피지 KOSDAQ,a058610,0.15,0.43,7.15
undefined,a372170,1.00,NaN,1.00
유한양행 KOSPI,a000100,0.66,0.40,1.56
S-Oil KOSPI,a010950,0.80,0.32,1.29
기업은행 KOSPI,a024110,0.50,0.50,2.02
비에이치아이 KOSDAQ,a083650,0.07,0.33,14.74
SK오션플랜트 KOSPI,a100090,1.03,0.23,0.88
피에스케이홀딩스 KOSDAQ,a031980,0.07,0.27,14.81
엔씨소프트 KOSPI,a036570,1.37,0.39,0.76
현대바이오 KOSDAQ,a048410,1.75,0.26,0.55
HK이노엔 KOSDAQ,a195940,0.79,0.37,1.27
두산 KOSPI,a000150,0.04,0.29,25.91
대한항공 KOSPI,a003490,0.82,0.50,1.23
KT KOSPI,a030200,0.71,0.63,1.47
케이엠더블유 KOSDAQ,a032500,0.79,0.38,1.42
카페24 KOSDAQ,a042000,0.52,0.30,2.10
SOOP KOSDAQ,a067160,1.59,0.35,0.66
